user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
283865965,RT @PaulRobbins15: Subsidies to fossil fuels in 2015: $5.3 trillion. Coal: 52% of post-tax subsidies (3% global GDP in 2011) owing to under…,Christopher Uejio,283865965,ckuejio,1,"Tallahassee, fl","Tallahassee, fl",User location, Florida
2645710784,RT @joshfoxfilm: Hey Florida! Step up the battle against fossil fuels and #fracking! The fight comes to you on Dec 29th #StopSabalTrail Sho…,JACK WOLF,2645710784,JackWolf57,1,Western PA,Western PA,User location,
3164351040,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",Kevin Thompson,3164351040,kvnl756821,1,"Minnesota, USA","Minnesota, USA",User location,Minnesota
3294246147,RT @inhabitat: This California solar plant produces energy that's cheaper than fossil fuels. https://t.co/yd3T9WGxYj https://t.co/KzrGfrdVXc,@TeslaEu,3294246147,TeslaEu,1,"Tilburg, Nederland","Tilburg, Nederland",User location,
33644102,https://t.co/Rm6XFAOEvd https://t.co/TssdP07BoM,SunWind Power,33644102,SunWindPower,1,"Louisville, KY ","Louisville, KY ",User location, Kentucky
4625831548,Want to learn more about Fossil Fuels for the #gcse #exams. Try this video and then get in contact. https://t.co/Nfr5UmDMZQ,Hexis Plus Tutoring,4625831548,HPlusTutoring,1,"London, England","London, England",User location,
1272710604,Can we please hurry up and burn the estimated 900 billion tonnes of fossil fuels remaining so I can celebrate New Years in warmth?,Jason Uhl,1272710604,jayuhl14,1,Northern Ontario,Northern Ontario,User location,
274068730,RT @NinjaEconomics: 2016 was the year solar panels finally became cheaper than fossil fuels. https://t.co/80EQfPHhEN,Tullah Stephen,274068730,tulla08,1,"Nairobi, Kenya","Nairobi, Kenya",User location,
21529672,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",Hudson Hutton,21529672,Freebird72,1,"Florida, USA","Florida, USA",User location,Florida
336370847,RT @NinjaEconomics: 2016 was the year solar panels finally became cheaper than fossil fuels. https://t.co/80EQfPHhEN,Charliealpha011,336370847,charliealpha011,1,Kenya,Kenya,User location,
2189978436,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",Bharatiya,2189978436,tarun_bhuyan,1,India,India,User location,
1046021640,2016 was the year solar panels finally became cheaper than fossil fuels. https://t.co/TLEiLMUkGh by #GavinPrestonMD via @c0nvey,Annabeth,1046021640,AnnabethAE,1,The Netherlands,The Netherlands,User location,
8.08E+17,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",Political Pig 🌹,8.08E+17,PoliticsPig,1,"Chicago, IL","Chicago, IL",User location, Illinois
7.57E+17,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",Luis Flores,7.57E+17,floreslg1111,1,"Tulsa, OK","Tulsa, OK",User location, Oklahoma
78546612,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",lovleensharma,78546612,lovleenShrma,1,"Ontario, Canada","Ontario, Canada",User location,
339512106,"Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.co/j6yhhH71Ll",motherfuckingliberal,339512106,Bernie4Llfe,1,"Columbus, Ohio","Columbus, Ohio",User location, Ohio
73103223,I predict we will be free from fossil fuels in 50 years. WE SHUD B FOCUSING NOW ON HUMAN POPULATION EXPLOSION!!! duh https://t.co/Tjfz1fdeIB,savvydrivel,73103223,savvydrivel,1,CONNECTICUT!,CONNECTICUT!,User location,Connecticut
4910058137,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",Charles Saporito,4910058137,cvsjr002,1,"Freehold, NJ","Freehold, NJ",User location,New Jersey
2425750418,2016 was the year solar panels finally became cheaper than fossil fuels. https://t.co/zzG6Wrrjbu by #pfersht via @c0nvey,Aitor Goirigolzarri,2425750418,AGoirigolzarriO,1,"Madrid, Spain","Madrid, Spain",User location,
339355316,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",Daniel,339355316,dfhawks310,1,"West Lafayette, IN","West Lafayette, IN",User location, Indiana
22460046,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",NoriNY 🐘🐼🐨🐻🐰🐣,22460046,Nori_NYC,1,Upper East Side Manhattan,Upper East Side Manhattan,User location, New York
7.57E+17,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",Sweet-Trade says Prosecute ICE,7.57E+17,Sweet_Trade_Dug,1,The Moon,The Moon,User location,
898445311,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",BeTheLight,898445311,MarthaHotz,1,"Earth, Solar System, Universe","Earth, Solar System, Universe",User location,
1921991732,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",#BernieOrJill,1921991732,NewRBEworld,1,Planet #Earth,Planet #Earth,User location,
26637348,"Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.co/EJVnaKvkhp",Tulsi Gabbard,26637348,TulsiGabbard,1,Hawai'i,Hawai'i,User location,
303387541,"RT @DavidFdzP: 2016, the year that solar electricity became cheaper than the one obtained from fossil fuels: coal and gas.\nhttps://t.co/xBU…",Edu Monroy Escabosa,303387541,emonroye,1,Barcelona,Barcelona,User location,
